Datetime,Discharge
2019-06-15 01:30,4300
2019-06-15 01:45,4320
2019-06-15 02:00,4320
2019-06-15 02:15,4300
2019-06-15 02:30,4290
2019-06-15 02:45,4320
2019-06-15 03:00,4290
2019-06-15 03:15,4260
2019-06-15 03:30,4320
2019-06-15 03:45,4270
2019-06-15 04:00,4260
2019-06-15 04:15,4240
2019-06-15 04:30,4270
2019-06-15 04:45,4270
2019-06-15 05:00,4180
2019-06-15 05:15,4260
2019-06-15 05:30,4270
2019-06-15 05:45,4230
2019-06-15 06:00,4240
2019-06-15 06:15,4260
2019-06-15 06:30,4290
2019-06-15 06:45,4270
2019-06-15 07:00,4270
2019-06-15 07:15,4220
2019-06-15 07:30,4180
2019-06-15 07:45,4240
2019-06-15 08:00,4270
2019-06-15 08:15,4270
2019-06-15 08:30,4260
2019-06-15 08:45,4160
2019-06-15 09:00,4220
2019-06-15 09:15,4260
2019-06-15 09:30,4260
2019-06-15 09:45,4300
2019-06-15 10:00,4240
2019-06-15 10:15,4210
2019-06-15 10:30,4270
2019-06-15 10:45,4300
2019-06-15 11:00,4300
2019-06-15 11:15,4260
2019-06-15 11:30,4270
2019-06-15 11:45,4300
2019-06-15 12:00,4260
2019-06-15 12:15,4370
2019-06-15 12:30,4270
2019-06-15 12:45,4370
2019-06-15 13:00,4370
2019-06-15 13:15,4330
2019-06-15 13:30,4370
2019-06-15 13:45,4380
2019-06-15 14:00,4320
2019-06-15 14:15,4380
2019-06-15 14:30,4350
2019-06-15 14:45,4370
2019-06-15 15:00,4370
2019-06-15 15:15,4370
2019-06-15 15:30,4300
2019-06-15 15:45,4350
2019-06-15 16:00,4350
2019-06-15 16:15,4290
2019-06-15 16:30,4350
2019-06-15 16:45,4320
2019-06-15 17:00,4270
2019-06-15 17:15,4290
2019-06-15 17:30,4350
2019-06-15 17:45,4290
2019-06-15 18:00,4250
2019-06-15 18:15,4290
2019-06-15 18:30,4300
2019-06-15 18:45,4290
2019-06-15 19:00,4300
2019-06-15 19:15,4300
2019-06-15 19:30,4290
2019-06-15 19:45,4320
2019-06-15 20:00,4320
2019-06-15 20:15,4290
2019-06-15 20:30,4320
2019-06-15 20:45,4300
2019-06-15 21:00,4250
2019-06-15 21:15,4290
2019-06-15 21:30,4270
2019-06-15 21:45,4240
2019-06-15 22:00,4290
2019-06-15 22:15,4240
2019-06-15 22:30,4250
2019-06-15 22:45,4240
2019-06-15 23:00,4240
2019-06-15 23:15,4220
2019-06-15 23:30,4190
2019-06-15 23:45,4190
2019-06-16 00:00,4210
2019-06-16 00:15,4220
2019-06-16 00:30,4210
2019-06-16 00:45,4130
2019-06-16 01:00,4210
2019-06-16 01:15,4180
2019-06-16 01:30,4220
2019-06-16 01:45,4190
2019-06-16 02:00,4170
2019-06-16 02:15,4160
2019-06-16 02:30,4130
2019-06-16 02:45,4110
2019-06-16 03:00,4130
2019-06-16 03:15,4160
2019-06-16 03:30,4140
2019-06-16 03:45,4110
2019-06-16 04:00,4110
2019-06-16 04:15,4130
2019-06-16 04:30,4170
2019-06-16 04:45,4100
2019-06-16 05:00,4190
2019-06-16 05:15,4100
2019-06-16 05:30,4110
2019-06-16 05:45,4130
2019-06-16 06:00,4130
2019-06-16 06:15,4140
2019-06-16 06:30,4110
2019-06-16 06:45,4100
